song_id,title,artist,genre,tier,has_audio_url,has_physical_audio,audio_size_bytes,audio_sha256,has_cover_url,has_physical_cover,cover_size_bytes,cover_sha256,has_physical_lyrics,lyrics_size_bytes,lyrics_words,lyrics_sha256,release_year
RMVM_S_503ffdd232,Thà Người Đừng Hứa,Như Huỳnh,BOLERO_TRUTINH,TIER_A,True,False,0,,False,False,0,,True,1650,260,633390b77ed41d9e89527c99c9a9ce2eba021166e2c64082a71f1a343eba342f,
RMVM_S_09a0b5c9f7,Nếu Anh Được Em Yêu Lần Nữa,"Hamlet Trương, Ưng Hoàng Phúc",POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,1579,291,bbd2bfdff43dcff13d6c2883cf1f90c1f9481613a01da8082626ee23fb054ac7,
RMVM_S_43c1fbe065,Anh Đứng Đây Từ Giờ Tới Mai,buitruonglinh,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2464,420,f7265165c13c69df7ff60c01de1e299187ff0a0a5fd997f7813ef13d363cd100,
RMVM_S_c60abde5a8,Lạnh Bước,Lâm Hùng,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2610,457,50445af76031eddd980e90632d203fe69203655f418b1e34c7cf4992c71e91f9,
RMVM_S_8e24a62f2f,Hai Nửa Thương Đau,Cao Hoàng Nghi,BOLERO_TRUTINH,TIER_A,True,False,0,,False,False,0,,True,1552,264,1b7d6a85b17e0a62817769fff1c4f568e6d13d3475cbbb4cfa06fc21e6027f00,
RMVM_S_5c7709b3e9,Miền Thùy Dương Dấu Yêu,Trung Nghĩa,BOLERO_TRUTINH,TIER_A,True,False,0,,False,False,0,,True,1901,318,f0cba586e36bfe730fb834184e24351c5c13d6576b2135de2096585d76c7bbb2,
RMVM_S_727aff10df,Đơn Phương Yêu Một Người,"Long.C, Ngắn",POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,3346,577,e74ccd4ea589bba2f7752b5b4c3c1ac3c52ae19ddbbc3eac4b12ca138d37a877,
RMVM_S_84632346d8,Anh Không Thể Quay Về,"Khang Ty, Trịnh Liên",POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,4444,795,bfc82e15500b9c158433ba4b95a1a4c6946ac85408f9a85bf3e3f525d22d6035,
RMVM_S_2f7d4bd38c,Hội Thánh Đức Chúa Trời,Gia Huy Singer,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2414,413,10ef0397f9df1d2c8d89ef77012936f36f06d976df2dd12a748d46dab9a13996,
RMVM_S_6066aee130,Còn Đêm Nay Thôi,"Thế Sơn, Mỹ Huyền",INSTRUMENTAL,TIER_B,True,False,0,,False,False,0,,True,1202,212,0482ebf9f7b2b6fe666959d5755d389a25f8fa7bbdd9d26882a1e74b1693c5db,
