song_id,title,artist,artist_id,album,album_id,source_genre,genre,label_source,tier,release_year,release_year_source,audio_path,audio_url,lyrics,cover_path,cover_url,source,source_id,annotation_status,annotator_id,annotation_agreement,rejection_reason
,Còn Một Mình Với Yêu Thương,,,,,,,,,,,,,,,,vietlyrics,ZW77F7WI,,,,MISSING_TITLE_OR_ARTIST
,Có Bao Giờ Anh Biết,,,,,,,,,,,,,,,,vietlyrics,ZWZBA9DU,,,,MISSING_TITLE_OR_ARTIST
,Có Còn Ai Hơn Em (Remix),,,,,,,,,,,,,,,,vietlyrics,ZW78WAFZ,,,,MISSING_TITLE_OR_ARTIST
,Có Nhau Muôn Đời,,,,,,,,,,,,,,,,vietlyrics,ZWZ979UA,,,,MISSING_TITLE_OR_ARTIST
,Có Nụ Hoa Hồng Bỗng Gọi Tên Anh,,,,,,,,,,,,,,,,vietlyrics,ZW6OW6U8,,,,MISSING_TITLE_OR_ARTIST
,Cô Gái K'ho Xuống Chợ,,,,,,,,,,,,,,,,vietlyrics,ZW6UAOFU,,,,MISSING_TITLE_OR_ARTIST
,Cùng Hành Quân Giữa Mùa Xuân,,,,,,,,,,,,,,,,vietlyrics,ZWZC9Z89,,,,MISSING_TITLE_OR_ARTIST
,Cún Bin Yêu,,,,,,,,,,,,,,,,vietlyrics,ZW7UAO0A,,,,MISSING_TITLE_OR_ARTIST
,Cơn Mưa Hiếu Kỳ,,,,,,,,,,,,,,,,vietlyrics,ZW77FUOC,,,,MISSING_TITLE_OR_ARTIST
,Cầu Mong Em Hạnh Phúc (Remix),,,,,,,,,,,,,,,,vietlyrics,ZW7UE8BU,,,,MISSING_TITLE_OR_ARTIST
,Cố Quên Cuộc Tình,,,,,,,,,,,,,,,,vietlyrics,Z7C6IIWC,,,,MISSING_TITLE_OR_ARTIST
,Cứ Vui Lên,,,,,,,,,,,,,,,,vietlyrics,ZW78WUAW,,,,MISSING_TITLE_OR_ARTIST
,Diệu Kỳ (DJ Anthony Thái Remix),,,,,,,,,,,,,,,,vietlyrics,ZW77FDUB,,,,MISSING_TITLE_OR_ARTIST
,Dạ Khúc Mưa,,,,,,,,,,,,,,,,vietlyrics,ZWZ9ZIAZ,,,,MISSING_TITLE_OR_ARTIST
,Dấu Chân Địa Đàng,,,,,,,,,,,,,,,,vietlyrics,ZW78IFDA,,,,MISSING_TITLE_OR_ARTIST
,Dấu Vết,,,,,,,,,,,,,,,,vietlyrics,ZWZDWD7A,,,,MISSING_TITLE_OR_ARTIST
,Dấu Yêu Ngày Xưa,,,,,,,,,,,,,,,,vietlyrics,ZWZA08DU,,,,MISSING_TITLE_OR_ARTIST
,Dấu Yêu Xa Tầm Tay,,,,,,,,,,,,,,,,vietlyrics,ZW78WFOW,,,,MISSING_TITLE_OR_ARTIST
,Dối Lòng,,,,,,,,,,,,,,,,vietlyrics,ZWAFC6II,,,,MISSING_TITLE_OR_ARTIST
,Em Có Còn Thắt Bím,,,,,,,,,,,,,,,,vietlyrics,ZW60IEDE,,,,MISSING_TITLE_OR_ARTIST
,Em Của Tôi,,,,,,,,,,,,,,,,vietlyrics,ZWB0DCWW,,,,MISSING_TITLE_OR_ARTIST
,Em Không Tin Em Quá Ghen,,,,,,,,,,,,,,,,vietlyrics,ZW7UE79A,,,,MISSING_TITLE_OR_ARTIST
,Em Muốn Làm Ca Sĩ,,,,,,,,,,,,,,,,vietlyrics,ZW77FU6I,,,,MISSING_TITLE_OR_ARTIST
,Em Sẽ Về,,,,,,,,,,,,,,,,vietlyrics,ZW7UBAE7,,,,MISSING_TITLE_OR_ARTIST
,Em Và Tôi,,,,,,,,,,,,,,,,vietlyrics,Z6B7WCDC,,,,MISSING_TITLE_OR_ARTIST
,Em Đi Bỏ Lại Con Đường,,,,,,,,,,,,,,,,vietlyrics,ZWZCC89U,,,,MISSING_TITLE_OR_ARTIST
,Em Đến Từ Nghìn Xưa,,,,,,,,,,,,,,,,vietlyrics,ZWZCC70W,,,,MISSING_TITLE_OR_ARTIST
,Em Đừng Quay Về Đây,,,,,,,,,,,,,,,,vietlyrics,ZW77FE97,,,,MISSING_TITLE_OR_ARTIST
,Fighting Fighting (Tỉnh Giấc Tôi Thấy Mình Trong Ai OST),,,,,,,,,,,,,,,,vietlyrics,ZW78IB66,,,,MISSING_TITLE_OR_ARTIST
,Give Me Your Love,,,,,,,,,,,,,,,,vietlyrics,ZW77F878,,,,MISSING_TITLE_OR_ARTIST
,Giả Vờ Như Không Yêu,,,,,,,,,,,,,,,,vietlyrics,ZW77FDUF,,,,MISSING_TITLE_OR_ARTIST
,Giấc Mơ Buồn,,,,,,,,,,,,,,,,vietlyrics,ZW77FUEF,,,,MISSING_TITLE_OR_ARTIST
,Giấc Mơ Hòa Bình,,,,,,,,,,,,,,,,vietlyrics,ZWZDBFAZ,,,,MISSING_TITLE_OR_ARTIST
,Giấc Mơ Sum Vầy,,,,,,,,,,,,,,,,vietlyrics,ZW7UBAEI,,,,MISSING_TITLE_OR_ARTIST
,Giấc Mơ Về Ngôi Nhà,,,,,,,,,,,,,,,,vietlyrics,ZWZA709C,,,,MISSING_TITLE_OR_ARTIST
,Giấu (Beat),,,,,,,,,,,,,,,,vietlyrics,ZW77F87F,,,,MISSING_TITLE_OR_ARTIST
,Giọt Lệ Tình,,,,,,,,,,,,,,,,vietlyrics,ZWZ9Z7E8,,,,MISSING_TITLE_OR_ARTIST
,Giờ Em Đã Hiểu,,,,,,,,,,,,,,,,vietlyrics,ZW7U9OF8,,,,MISSING_TITLE_OR_ARTIST
,Giữa Mạc Tư Khoa Nghe Câu Hò Ví Dặm,,,,,,,,,,,,,,,,vietlyrics,ZWZCA968,,,,MISSING_TITLE_OR_ARTIST
,Gã Si Tình Rong Rêu,,,,,,,,,,,,,,,,vietlyrics,ZW78IEFI,,,,MISSING_TITLE_OR_ARTIST
